date,vixopen,vixhigh,vixlow,vixclose
01/02/2015,17.76,20.14,17.05,17.79
01/05/2015,19.19,21.29,19.19,19.92
01/06/2015,20.33,22.9,19.52,21.12
01/07/2015,20.15,20.72,19.04,19.31
01/08/2015,17.93,18.09,16.99,17.01
01/09/2015,16.44,18.42,16.44,17.55
01/12/2015,18.02,20.44,18.02,19.6
01/13/2015,18.21,21.58,17.65,20.56
01/14/2015,22.87,23.34,21.32,21.48
01/15/2015,21.23,23.31,20.86,22.39
01/16/2015,22.8,23.43,20.95,20.95
01/20/2015,20.07,21.37,19.58,19.89
01/21/2015,20.92,21.28,18.64,18.85
01/22/2015,17.98,19.23,16.07,16.4
01/23/2015,16.79,17.09,15.81,16.66
01/26/2015,16.96,17.43,15.52,15.52
01/27/2015,17.6,18.41,16.67,17.22
01/28/2015,16.97,20.44,16.92,20.44
01/29/2015,20.46,21.56,18.66,18.76
01/30/2015,20.23,22.18,19.24,20.97
02/02/2015,20.89,22.81,19.35,19.43
02/03/2015,18.41,18.89,17.2,17.33
02/04/2015,17.82,18.38,16.82,18.33
02/05/2015,17.29,17.43,16.67,16.85
02/06/2015,16.29,18.74,16.06,17.29
02/09/2015,19.16,19.28,18.21,18.55
02/10/2015,17.72,18.36,16.97,17.23
02/11/2015,17.43,17.81,16.82,16.96
02/12/2015,16.39,16.47,15.28,15.34
02/13/2015,15.11,15.64,14.69,14.69
02/17/2015,15.86,16.33,15.53,15.8
02/18/2015,16.74,16.74,15.44,15.45
02/19/2015,16.11,16.22,15.1,15.29
02/20/2015,15.73,16.29,14.27,14.3
02/23/2015,15.05,15.48,14.49,14.56
02/24/2015,14.5,14.63,13.53,13.69
02/25/2015,13.64,14.06,12.86,13.84
02/26/2015,13.55,14.57,13.55,13.91
02/27/2015,14.07,14.17,13.29,13.34
03/02/2015,13.9,13.9,12.87,13.04
03/03/2015,13.35,14.69,13.25,13.86
03/04/2015,14.31,15.33,14.13,14.23
03/05/2015,14.01,14.58,13.88,14.04
03/06/2015,14.61,15.83,14.18,15.2
03/09/2015,15.72,15.76,14.71,15.06
03/10/2015,16.47,16.91,16.03,16.69
03/11/2015,16.44,17.19,16.29,16.87
03/12/2015,16.45,16.45,15.3,15.42
03/13/2015,15.47,16.74,15.32,16
03/16/2015,15.78,15.89,15.36,15.61
03/17/2015,16.31,16.37,15.66,15.66
03/18/2015,14.6,16.29,13.38,13.97
03/19/2015,14.68,14.97,13.84,14.07
03/20/2015,13.52,13.53,12.54,13.02
03/23/2015,13.52,13.53,12.89,13.41
03/24/2015,13.36,13.68,12.59,13.62
